police_force_code,police_force_name,year_month,ethnicity_simple,ethnicity_full,sns_count
E23000001,Metropolitan Police,2022-03-01,Asian,Asian Other,989
E23000001,Metropolitan Police,2022-03-01,Asian,Bangladeshi,455
E23000001,Metropolitan Police,2022-03-01,Asian,Chinese,23
E23000001,Metropolitan Police,2022-03-01,Asian,Indian,218
E23000001,Metropolitan Police,2022-03-01,Asian,Pakistani,234
E23000001,Metropolitan Police,2022-03-01,Black,Black African,1075
E23000001,Metropolitan Police,2022-03-01,Black,Black Caribbean,686
E23000001,Metropolitan Police,2022-03-01,Black,Black Other,1864
E23000001,Metropolitan Police,2022-03-01,Mixed,Mixed Other,321
E23000001,Metropolitan Police,2022-03-01,Mixed,Mixed White and Asian,45
E23000001,Metropolitan Police,2022-03-01,Mixed,Mixed White and Black African,51
E23000001,Metropolitan Police,2022-03-01,Mixed,Mixed White and Black Caribbean,161
E23000001,Metropolitan Police,2022-03-01,Other,Any Other Ethnic Background,454
E23000001,Metropolitan Police,2022-03-01,Other,Unknown,1
E23000001,Metropolitan Police,2022-03-01,Unknown,Unknown,4576
E23000001,Metropolitan Police,2022-03-01,White,Gypsy or Irish Traveller,2
E23000001,Metropolitan Police,2022-03-01,White,Unknown,4
E23000001,Metropolitan Police,2022-03-01,White,White British,3076
E23000001,Metropolitan Police,2022-03-01,White,White Irish,182
E23000001,Metropolitan Police,2022-03-01,White,White Other,1964
E23000001,Metropolitan Police,2022-04-01,Asian,Asian Other,725
E23000001,Metropolitan Police,2022-04-01,Asian,Bangladeshi,321
E23000001,Metropolitan Police,2022-04-01,Asian,Chinese,24
E23000001,Metropolitan Police,2022-04-01,Asian,Indian,193
E23000001,Metropolitan Police,2022-04-01,Asian,Pakistani,132
E23000001,Metropolitan Police,2022-04-01,Black,Black African,784
E23000001,Metropolitan Police,2022-04-01,Black,Black Caribbean,578
E23000001,Metropolitan Police,2022-04-01,Black,Black Other,1472
E23000001,Metropolitan Police,2022-04-01,Mixed,Mixed Other,250
E23000001,Metropolitan Police,2022-04-01,Mixed,Mixed White and Asian,36
E23000001,Metropolitan Police,2022-04-01,Mixed,Mixed White and Black African,52
E23000001,Metropolitan Police,2022-04-01,Mixed,Mixed White and Black Caribbean,150
E23000001,Metropolitan Police,2022-04-01,Other,Any Other Ethnic Background,359
E23000001,Metropolitan Police,2022-04-01,Unknown,Unknown,3923
E23000001,Metropolitan Police,2022-04-01,White,White British,2785
E23000001,Metropolitan Police,2022-04-01,White,White Irish,122
E23000001,Metropolitan Police,2022-04-01,White,White Other,1444
E23000001,Metropolitan Police,2022-05-01,Asian,Asian Other,862
E23000001,Metropolitan Police,2022-05-01,Asian,Bangladeshi,459
E23000001,Metropolitan Police,2022-05-01,Asian,Chinese,22
E23000001,Metropolitan Police,2022-05-01,Asian,Indian,220
E23000001,Metropolitan Police,2022-05-01,Asian,Pakistani,228
E23000001,Metropolitan Police,2022-05-01,Black,Black African,989
E23000001,Metropolitan Police,2022-05-01,Black,Black Caribbean,620
E23000001,Metropolitan Police,2022-05-01,Black,Black Other,1710
E23000001,Metropolitan Police,2022-05-01,Mixed,Mixed Other,330
E23000001,Metropolitan Police,2022-05-01,Mixed,Mixed White and Asian,41
E23000001,Metropolitan Police,2022-05-01,Mixed,Mixed White and Black African,66
E23000001,Metropolitan Police,2022-05-01,Mixed,Mixed White and Black Caribbean,155
E23000001,Metropolitan Police,2022-05-01,Other,Any Other Ethnic Background,458
E23000001,Metropolitan Police,2022-05-01,Unknown,Unknown,4422
E23000001,Metropolitan Police,2022-05-01,White,White British,2899
E23000001,Metropolitan Police,2022-05-01,White,White Irish,143
E23000001,Metropolitan Police,2022-05-01,White,White Other,1680
E23000001,Metropolitan Police,2022-06-01,Asian,Asian Other,833
E23000001,Metropolitan Police,2022-06-01,Asian,Bangladeshi,379
E23000001,Metropolitan Police,2022-06-01,Asian,Chinese,18
E23000001,Metropolitan Police,2022-06-01,Asian,Indian,173
E23000001,Metropolitan Police,2022-06-01,Asian,Pakistani,177
E23000001,Metropolitan Police,2022-06-01,Black,Black African,1010
E23000001,Metropolitan Police,2022-06-01,Black,Black Caribbean,712
E23000001,Metropolitan Police,2022-06-01,Black,Black Other,1776
E23000001,Metropolitan Police,2022-06-01,Mixed,Mixed Other,324
E23000001,Metropolitan Police,2022-06-01,Mixed,Mixed White and Asian,38
E23000001,Metropolitan Police,2022-06-01,Mixed,Mixed White and Black African,70
E23000001,Metropolitan Police,2022-06-01,Mixed,Mixed White and Black Caribbean,133
E23000001,Metropolitan Police,2022-06-01,Other,Any Other Ethnic Background,415
E23000001,Metropolitan Police,2022-06-01,Unknown,Unknown,4413
E23000001,Metropolitan Police,2022-06-01,White,Unknown,2
E23000001,Metropolitan Police,2022-06-01,White,White British,2635
E23000001,Metropolitan Police,2022-06-01,White,White Irish,122
E23000001,Metropolitan Police,2022-06-01,White,White Other,1561
E23000001,Metropolitan Police,2022-07-01,Asian,Asian Other,806
E23000001,Metropolitan Police,2022-07-01,Asian,Bangladeshi,286
E23000001,Metropolitan Police,2022-07-01,Asian,Chinese,18
E23000001,Metropolitan Police,2022-07-01,Asian,Indian,178
E23000001,Metropolitan Police,2022-07-01,Asian,Pakistani,187
E23000001,Metropolitan Police,2022-07-01,Asian,Unknown,1
E23000001,Metropolitan Police,2022-07-01,Black,Black African,1010
E23000001,Metropolitan Police,2022-07-01,Black,Black Caribbean,558
E23000001,Metropolitan Police,2022-07-01,Black,Black Other,1633
E23000001,Metropolitan Police,2022-07-01,Mixed,Mixed Other,276
E23000001,Metropolitan Police,2022-07-01,Mixed,Mixed White and Asian,35
E23000001,Metropolitan Police,2022-07-01,Mixed,Mixed White and Black African,51
E23000001,Metropolitan Police,2022-07-01,Mixed,Mixed White and Black Caribbean,128
E23000001,Metropolitan Police,2022-07-01,Other,Any Other Ethnic Background,394
E23000001,Metropolitan Police,2022-07-01,Unknown,Unknown,4048
E23000001,Metropolitan Police,2022-07-01,White,Unknown,2
E23000001,Metropolitan Police,2022-07-01,White,White British,2568
E23000001,Metropolitan Police,2022-07-01,White,White Irish,135
E23000001,Metropolitan Police,2022-07-01,White,White Other,1481
E23000001,Metropolitan Police,2022-08-01,Asian,Asian Other,890
E23000001,Metropolitan Police,2022-08-01,Asian,Bangladeshi,338
E23000001,Metropolitan Police,2022-08-01,Asian,Chinese,10
E23000001,Metropolitan Police,2022-08-01,Asian,Indian,203
E23000001,Metropolitan Police,2022-08-01,Asian,Pakistani,221
E23000001,Metropolitan Police,2022-08-01,Black,Black African,1129
E23000001,Metropolitan Police,2022-08-01,Black,Black Caribbean,665
E23000001,Metropolitan Police,2022-08-01,Black,Black Other,1897
E23000001,Metropolitan Police,2022-08-01,Black,Unknown,3
E23000001,Metropolitan Police,2022-08-01,Mixed,Mixed Other,323
E23000001,Metropolitan Police,2022-08-01,Mixed,Mixed White and Asian,42
E23000001,Metropolitan Police,2022-08-01,Mixed,Mixed White and Black African,67
E23000001,Metropolitan Police,2022-08-01,Mixed,Mixed White and Black Caribbean,146
E23000001,Metropolitan Police,2022-08-01,Other,Any Other Ethnic Background,457
E23000001,Metropolitan Police,2022-08-01,Unknown,Unknown,4503
E23000001,Metropolitan Police,2022-08-01,White,Gypsy or Irish Traveller,1
E23000001,Metropolitan Police,2022-08-01,White,White British,3037
E23000001,Metropolitan Police,2022-08-01,White,White Irish,150
E23000001,Metropolitan Police,2022-08-01,White,White Other,1457
E23000001,Metropolitan Police,2022-09-01,Asian,Asian Other,684
E23000001,Metropolitan Police,2022-09-01,Asian,Bangladeshi,308
E23000001,Metropolitan Police,2022-09-01,Asian,Chinese,13
E23000001,Metropolitan Police,2022-09-01,Asian,Indian,157
E23000001,Metropolitan Police,2022-09-01,Asian,Pakistani,149
E23000001,Metropolitan Police,2022-09-01,Black,Black African,736
E23000001,Metropolitan Police,2022-09-01,Black,Black Caribbean,464
E23000001,Metropolitan Police,2022-09-01,Black,Black Other,1228
E23000001,Metropolitan Police,2022-09-01,Mixed,Mixed Other,228
E23000001,Metropolitan Police,2022-09-01,Mixed,Mixed White and Asian,29
E23000001,Metropolitan Police,2022-09-01,Mixed,Mixed White and Black African,38
E23000001,Metropolitan Police,2022-09-01,Mixed,Mixed White and Black Caribbean,111
E23000001,Metropolitan Police,2022-09-01,Other,Any Other Ethnic Background,348
E23000001,Metropolitan Police,2022-09-01,Other,Arab,2
E23000001,Metropolitan Police,2022-09-01,Unknown,Unknown,3297
E23000001,Metropolitan Police,2022-09-01,White,Gypsy or Irish Traveller,1
E23000001,Metropolitan Police,2022-09-01,White,Unknown,2
E23000001,Metropolitan Police,2022-09-01,White,White British,2139
E23000001,Metropolitan Police,2022-09-01,White,White Irish,84
E23000001,Metropolitan Police,2022-09-01,White,White Other,1318
E23000001,Metropolitan Police,2022-10-01,Asian,Asian Other,744
E23000001,Metropolitan Police,2022-10-01,Asian,Bangladeshi,282
E23000001,Metropolitan Police,2022-10-01,Asian,Chinese,15
E23000001,Metropolitan Police,2022-10-01,Asian,Indian,175
E23000001,Metropolitan Police,2022-10-01,Asian,Pakistani,172
E23000001,Metropolitan Police,2022-10-01,Black,Black African,920
E23000001,Metropolitan Police,2022-10-01,Black,Black Caribbean,565
E23000001,Metropolitan Police,2022-10-01,Black,Black Other,1422
E23000001,Metropolitan Police,2022-10-01,Mixed,Mixed Other,291
E23000001,Metropolitan Police,2022-10-01,Mixed,Mixed White and Asian,33
E23000001,Metropolitan Police,2022-10-01,Mixed,Mixed White and Black African,45
E23000001,Metropolitan Police,2022-10-01,Mixed,Mixed White and Black Caribbean,116
E23000001,Metropolitan Police,2022-10-01,Other,Any Other Ethnic Background,434
E23000001,Metropolitan Police,2022-10-01,Unknown,Unknown,3879
E23000001,Metropolitan Police,2022-10-01,White,White British,2431
E23000001,Metropolitan Police,2022-10-01,White,White Irish,104
E23000001,Metropolitan Police,2022-10-01,White,White Other,1416
E23000001,Metropolitan Police,2022-11-01,Asian,Asian Other,694
E23000001,Metropolitan Police,2022-11-01,Asian,Bangladeshi,306
E23000001,Metropolitan Police,2022-11-01,Asian,Chinese,22
E23000001,Metropolitan Police,2022-11-01,Asian,Indian,196
E23000001,Metropolitan Police,2022-11-01,Asian,Pakistani,168
E23000001,Metropolitan Police,2022-11-01,Black,Black African,785
E23000001,Metropolitan Police,2022-11-01,Black,Black Caribbean,495
E23000001,Metropolitan Police,2022-11-01,Black,Black Other,1263
E23000001,Metropolitan Police,2022-11-01,Mixed,Mixed Other,261
E23000001,Metropolitan Police,2022-11-01,Mixed,Mixed White and Asian,33
E23000001,Metropolitan Police,2022-11-01,Mixed,Mixed White and Black African,40
E23000001,Metropolitan Police,2022-11-01,Mixed,Mixed White and Black Caribbean,113
E23000001,Metropolitan Police,2022-11-01,Other,Any Other Ethnic Background,373
E23000001,Metropolitan Police,2022-11-01,Other,Unknown,1
E23000001,Metropolitan Police,2022-11-01,Unknown,Unknown,3586
E23000001,Metropolitan Police,2022-11-01,White,White British,2410
E23000001,Metropolitan Police,2022-11-01,White,White Irish,113
E23000001,Metropolitan Police,2022-11-01,White,White Other,1368
E23000001,Metropolitan Police,2022-12-01,Asian,Asian Other,284
E23000001,Metropolitan Police,2022-12-01,Asian,Bangladeshi,105
E23000001,Metropolitan Police,2022-12-01,Asian,Chinese,7
